name	count
SOFIA AMANDA	36
H. A.	10
BRIGITTA MARIA	13
GUST. SAMUEL	4
AUGUST MANFRED	4
ADELE FREDRIKA	4
ELIS FERDINAND	2
BERTA HEDVIG TERESIA	1
PER MARTIN	15
KAISA MAGDALENA	3
MAJIA LISA	2
ANSHELM THEHARD	1
WILHELM GEORG ENSIO	1
UNO AXEL FERDINAND	1
H. B.	1
MARIA CICILIA	6
HELGA SERAFIA	1
MARIA ALBERTINA	214
IDA EMELIA	1
BEIRA ERIKA	1
JOHAN OSKAR EHRENFRIED	1
HALVAR RICHARDT	1
SIGNE ESTER AUGUSTA	1
KARL W.	1
KRISTINA (HELENA)	1
MARGAR. CARL.	1
WILMA LOVISA	10
H. C.	4
ABRAHAM ALEXIUS	1
BROR SIGURD	2
INGRID MARGRETHA	8
ANNA MARTA JOHANNA	1
MARIA ALICE	5
ARVID VERNER	1
ANDRIETTA MATIHILDA	2
ANNY MATILDA REGINA	1
JOSEPHINA CHRISTINA	2
J. ALFRED	1
C. AUG	1
ANNA GUSTAFVA	505
LYDIA ELINA	5
KARIN WILHELMINA	1
ADELINA MARTINA	2
SELINA ANNETTY	1
PAULINA	52
HANS DANIEL	2
KATHARINA ERICA	1
HULDA K P.	1
HELGE ANTONIUS	1
HANS GUST.	6
ANNA ADELINA	28
SVEN GEORG WALDEMAR	1
ESTER JULIA PAULINA	1
JOHANNA GEORGINA	1
JUDIT REGINA	2
WENDLA ELISAB. JOH:A	1
ANNA GUSTAFWA	12
ADAM FREDR.	8
BROR SAMUEL	2
WILLEH.	1
ERIC EDVARD	32
BRITA STNA	1
THEA MARIA CATARINA	1
SARA TERESIA	9
ANTOINETTE	2
HELGA ADELE	1
AUGUST MANFRID	6
ANTOINETTA	10
HELGA ADELA	1
FRITZ PAULUS	4
HILDUR MARIT HILDA	1
GUST. BERNH. WILH.	4
HENNY AGATA	3
JOH. FERD.	1
ABRAHAM BERNH.	1
MARGRETHA CATH.	9
H. E.	7
LARS HILLGOTT	1
MÄRTA KRIS.	1
KATARINA EFRUSYNA	1
MARTHA E.	1
ASTA WILHELMINA	1
AMANDA STEFANIA	1
KARL VILHELM TORSTEN	1
GRETA (STINA) LISA	1
JENNY ADINA	1
AEVIDA SEDERINA	1
MAGDL. KAROLINA	7
ISABELLA VIKTORIA	2
OSKAR TURE	1
ESTER ERIKA	5
SIGRI ULRIKA	1
ALMA OLIVIA	23
FRITZ PETRUS	2
LINNÉA MARIA	1
H. F.	5
JOHAN ERIK WALFRID	4
¤ DAVID	1
OTTO ELIS	1
KATHARINA FREDRIKA	10
ANNA STIN	2
COELINA CHRISTINA	1
KARL J.	10
KARL GÖTHE	1
ADOLF SIM.	1
DAN. EDV.	4
CATHARINA AUGUSTA WILHELMINA	2
BENGT REINHOLD	2
BROR HILDEMAR	2
HULDA HILDEGARD	2
OLGA KRISTINA EMELINDA	3
ALFRID BIRGER	1
CHRISTINA EMILIE	1
SOFIA LOUISE MARTINA	1
MAR. ELISABET	1
SIGNE CHARLOTTA KATRINA	1
HILDA JOSEFINA EUGENIA	2
CAJSA AMANDA	27
KARL G¤	2
JUDIT ERIKA	4
H. G.	21
CHRISTINA EMILIA	5
EDIT MARGARETA ADOFINA	1
J. JO.	1
PER ISRAEL	9
OSCAR BRYNOLF	1
¤ ¤IA	1
ANNA CHRISTINA VILHELMINA	1
MARIA GUSTAFVA ELISABET	2
KARL HENRIK ALBERT	1
TEOLINDA	3
INGRID HELENA	104
GUSTAF JOHANNES	12
LBRAM PETTER	1
DAGNY ALICE	1
SVEN EFRAIM	1
STORA ANDERS	12
JONNAS	2
MATILDA MARIA AMALIA	1
SETH ELOF	1
SARA [ULR.] LOV.	1
KARL L.	2
HULDA LEONORA	1
IRENE ELISABETH	1
CARL ABRAHAM NATHANIEL	1
NILS SANFRID	16
VILHELMINA ALBERTINA	3
LUCIA ELISABET	1
ELOF EUGEN	1
MARIE KATARINA	1
JOHAN ALEXANDER WOHLRATH	1
SIGR. CATHR.	1
SYNA ADINA	1
AXEL LEONARD	101
GUST. SIGURD	3
KONRAD MANFRED	1
ANNA KRIST.	93
INGEMAR WILHELM	1
KONRAD GEORG ARVID	2
ARVID MARINO	1
AN. KR.	1
PONTUS NIKOLAUS	1
MÄRTHA CAROLINA (CATHARINA)	1
C JOH.	1
H. J.	7
MARTHA A.	1
KARL M.	1
HUGO	111
AXEL HUBERT	2
ETT FLICKEBARN	128
AND JON	1
RUTH GUNBORG	2
HILDING SEVERIN	4
NAIMA ARMIDA	1
ANNA KRISTA	1
EJNAR SEVERIN	1
CHRISTINA ANTONIETTA	1
ANNA BENJAMINA	1
MÄRTA KATARINA ERIKA	1
INGRID OTILIA	1
ER GÖRAN	1
BROR AUGUST	31
OSCAR ANDREAS SEYBRANDT	1
ANNA HILDA ELISABETH	1
NILS ABRAM	5
JENNY ELIDA	6
JON ALB.	1
KATR. KRISTINA	2
NILS PETTER KONRAD	1
KARL N.	2
WILHELM MARCELLUS	1
SIGNE GENOVINIA	2
SARA CHRISTINA MATHILDA	2
SIGRI (MARTA) PETRONELLA	1
NILS HILDER	1
OSKAR WILH.	1
KAT. KRIST	1
ELVIRA MARGARETA	2
EDVIN GIDEON ALBIN	1
ERIK HARRY	1
ARVID ALEXANDER	5
KARL O.	4
MARII MAGLENA	1
NILS PER	1
CHARLOTTA EUFROS.	1
CHARLOTTA CONSTANTIA	1
KARSTEN NIKANOR	1
EVELINA SOFIA	2
H. L.	1
KRISTINA AMAL.	1
JENNY AMALIA CHARLOTTA	2
BR. KRISTA.	1
WILHELMINA CICILIA	1
ANNA JUDIT VILHELMINA	6
SIGRID MERTHA	1
KRISTINA JOSEF.	7
MATHIAS	1100
ANNA JULIANA CHRISTINA	1
JONAS ERLAND	5
THOMAS BERNHARD	2
GUSTAF OLYMPIUS	2
FREDRIC LUDVIG	3
BERTIL GERMANUS	1
AND JOH	1
SELMA MARIA ELISABET	2
KARL P.	2
JONAS ALBERT AUGUST	1
JOH. PETTER WILHELM	1
GRETHA JOHANNA	23
LUDVIG VIKTOR ALEXANDER	1
DAGMAR LEVINA	1
ERIK JOHAN BERTIL	1
E JO.	1
NILS PET	8
CHR. ER.	2
H. M.	6
IDA VICTORIA	53
IDA GRETA	2
CAROL. W:MINA	1
KAROLINA MARGRETA	7
FREDRIK MELKER	2
ISAK BERNH. PETTER	1
INES OTELIA MARGRETA	1
MATHILDA PETRONELLA AMANDA	1
ADRIAN FRANS AUGGUST	1
