name	count
RISÉN	5
JONSSON FORS	1
PALMSTRÖM	1
OLOFS:S VIKLUND	1
PERSSON LOKATT	1
ERSSON LUNDSTRÖM	6
SÄLLGREN	3
VÄST	3
FRANTZ	1
JONSS GUTSA	1
FRANTS	3
SCHMIDT	4
MATTHSSON	26
TÖRNSTÉN	1
ÖSTERMAN	41
JOHANSD:	1
MÅNSSON BALLEJAUR	1
LARSSON BISTRÖM	7
TERNQVIST	1
SIDENQVIST	1
AVFSTRÖM	1
ÅQVIST	7
MICKELSDR.	3
STYMAN	1
JAKOBSSON ÅSTRÖM	2
VIKLUND FÖDD OLOFSDOTTER	1
ANDERS:S LINDFORS	1
SCHYLBERG	2
COGNELL	7
KEYSER	1
JONSD.R ERIKSD.R	1
CHRISTOFERSSON LIDMAN	2
JOHANSD.	93
CLEMETSD:R	13
STENQVIST ELOFSSON	1
JONSDR. MARKLUND	3
HÖGLUND F. JOHANSSON	1
BUR	87
JONSSON BERGST	3
ERICSSON HEDLUND	1
MATTSSON LÖFROTH	1
NÄSHOLM	14
LINDERUDT	1
(JONSSON) ISAKSSON	1
BJÖRKLUND NILSSON	1
KARLSSON SÖDERSTRÖM	2
ALEXANDERSDOTTER NÄS	1
PERSSON HOLBERG	3
PERSDR	1819
SÖDERMARK FÖDD VANSTRADT	1
BARTHED	1
ANDERS: SEGER	1
BARTHEL	19
ERISD:R	3
HUGA	1
JOH.SON LUNDGREN	3
ANDERSS DAHLQVIST	1
ISRAELSD:TR	3
KRYGER	4
JOHSON HÖGLUND	1
KJELLBOM	1
(LUNDGREN	1
JOH. ÖSTERBERG	1
KARLSSON JOHANSSON	7
HUGG	1
SEGREDSD:R	1
PERSSON Y.	2
SIVERTHSSON	1
ERSDOTTER VESTERLUND	1
KRUSKOFF	1
OLOFSSON VIKMAN	2
NORSTRÖM (ERIKSSON)	1
AXELSSON BERGQVIST	2
ANDERSSON HOLMBERG	10
ANDERSDTR.	26
NORDSTRÖM PERSSON	1
ESAIASSON BERGSTRÖM	2
JOHANSDOTTER STRANDBERG	1
ANDERSSON BÄCKER	1
LÖFBERG	114
LARSSON STINNERBORN	1
ERSSON QWARNSTRÖM	1
DAHLBERG J.N	1
HUFS	1
HÖGMAN OLSSON	1
PERSSON FÖDD JOHANSSON	1
OLSSON HEDLUND	4
SÄFSTEN	1
SACHRISS.	1
FÄLLGREN	5
OLOFSSON SÖDERSTRÖM	1
ZACHRISS. ENBERG	1
CARLSDR LINDBERG	1
OLSS. BACKSTR	1
JANSSON NORD	1
SIGFRIDZ:S	1
HEDIN OLSSON	1
ABRAHAMSSON HAMMARBERG	1
ENHOLM	1
HENRIKSSON WESTERHOLM	1
MATHIAS	154
RÖNNMARCK	1
PAULIDR	1
BARTHAL	1
FREDRIC LUDVIG	1
ERIKSSON WALSÅS	1
HELLGVIST	1
BUNZOW	4
MUNTER JOHANSSON	3
CAJSADOTTER	1
KIERNBERG	1
THOMASSON JÄRNHÄST	1
OLOFSSON NYGREN	16
ERSDTR. GRÖNÅKER	1
HUKE	1
SEGREDSD.R	1
ANDERSDR CARLSTEDT	3
LARSSON HEDBERG	2
JONSD.R VALLSTRÖM	1
PEHRSDER	15
JOHANSSON LUNDQVIST	20
HENRIKSSON SJUL	1
PERSON	70
OLUFSS	1
(FORSBERG) ERICSDR	1
PEHRSDDR	1
MARTINSSON VARG	2
NILSSON HÖGSTEDT	1
MOREN GUSTAFSDR	1
WESTERLUND ABRAHAMSSON	1
¤GIERTDSSON	1
GNETT	1
NILSDOTTER BURSTRÖM	1
JACOBS. NYGREN	1
ENEROTH	5
KLOCKARE (SAMULSS.)	1
LIDQVIST	2
BODIN	110
JOAKIMSDR LUNDMARK	1
LARSSON LÅNG	4
HEDBERG	428
ABRAHAMSSON LINDGREN	3
BODEN	92
VOGBERG	1
V. NANDELSTEDT	1
KARSTEDT	12
CARLSDR STENBERG	2
GRANSTRÖM GUSTAFSSON	1
ERIKSSON TÅG	2
MATTSSON VIKMAN	2
NILSSON RÅDSTRÖM	7
PÄRSSON WIKLUND	1
TETTING	1
DELDIN	3
TIÄRNBORG	2
LÖFSTRAND	1
ESAIAEDR	4
NILSSON LINDBLOM	18
NESCHKE	3
JOHANSSON LJUNG	2
GAGNER	23
LÖFVANDER	16
WÄSTIN	20
MIKAELSSON D.	1
HULT	9
LINGREN BERGMAN	1
ARWIDSD:TR	1
SUNN	1
JANSSON ÅSMAN	1
ANDERSS. NUMP	1
NORMARK KARLSSON	2
GABRIELSSON LINDFORSS	4
JOHA.A.	1
JOHANSON ÖLEN	1
NILSDR. ENQVIST	1
JOH.SON WIKSTRÖM	1
WIKLUND JONSN	1
LARSSON LILLA	2
JOHANSEN	10
CEDERLAND	1
AUGUSTSSON JANSSON	2
MONTELINS	2
PERSDOTTER BERGMARK	1
PERSSO	1
PERSSN	12
JOHANSDR	3467
FERLUND	1
MOSEKINSKY	1
OLSSON GUNN	3
CARL MARTIN	1
THISELL	1
PERSSON NÄSBERG	2
CEDERWALL	2
LARSSON PIHL	1
OLSSON GUND	1
JONSSN EKMAN	1
JOHANSDO	2
JAK:SON MARKSTEDT	1
ANDERSSON UNG	1
CEDERWALD	1
JAN PETER	2
SUND	116
JONSSON GLUNK	10
PERSSON LÖGDSTEDT	2
KJELLIN	18
ÄNGBLOM	5
PERSS.	42
GRELLSDR.	1
COMSTEDT	3
PERSS:	4
DAHLBERG J:N	1
¤SSON	62
ISAKSSON BACKLUND	2
ÖHSLING	1
CHRISTSON	1
ISRAELSSON KLOCKARS	1
ZEBULON	1
AUGUSTINSDOTTER	31
JAKOBS ANDERSSON	1
MAGN¤SON LÖFQVIST	1
DELDEN	13
ASLANSSON	1
BLASKSTEDT	3
HALENS	1
RÖNBLOM	13
JOH. WILHELM	1
ÖRING	1
LODELL	3
VILHELM JOHAN	1
ALLBERG MATTSSON	1
WÄNSTÄDT	1
ERIK ANDREAS	6
KÄLQVIST	1
BARTHIL	1
ÖSTERSDR.	1
JONSSON MAJISTRÖM	1
PÄRSS:S	1
MARKUS FALK	1
JOHANSS.	136
FALK F. LUNDSTRÖM	1
JONSON FRANK	1
JONSSON MARK	8
REINE	1
JONSSON STEN	1
RAGVALDSDR	4
HUSS	167
REINO	1
MOSIS.DR	3
ANDERSS. FÄLT	1
STAHRE	1
NILLSON	8
OLOFSSON ÄLDRE	4
BERGMAN (JONSSON)	1
JAHSSON	1
NILSDR STÅL	1
HURS	1
FRISTEDT	2
ISACSSON HÄGG	1
ABRAHAMSSON HÄLLGREN	1
ERIC AUGUSTIN	1
MINOUR	1
ANDSON RUS	1
JOHANSSON FORSSBERG	2
NILSSON THUNSTRÖM	1
STOPP	1
JAKOBSSN	3
WIDMAN JONSDR	3
JOHANSSON SUNDQVIST	15
NILSSON BARROCK	1
¤STEN	2
LARSSN MARKLUND	1
(NILSSON) FJÄLLSTET	1
NILSSON FRÖST	1
BJURMAN	173
JOHSON LUNDMARK	2
LIDBÄCK ÅBACK	1
SUNDÉN	2
ZUICK	1
ERSSON SOLING	1
GRAVANDER	1
PETRUS AUGUST	1
ULLENIUS	13
LEONARDSDR	1
JAKOBSS.	1
¤MARK	6
PEHRSD:R	314
SEHRMAN	1
ANDERSSON LÖFVING	4
KARLSDOTTER LUNDBERG	1
OLOFSDR BURSTRÖM	3
SWEDLUND	96
OLOFSSON ÄLDRA	1
JOHANSSN	28
DAVIDSDR	58
JONSSON TRYGG	1
ERSSON BERGSTEN	13
[PÅLSSON] CARLSSON	1
DIHR	1
STORM	15
JONAS OTTO	1
JOHANSS:	15
NILS. BYSTRÖM	1
JÖNSS KRÅM	1
OLOFSSON ÄLDR.	1
FRYKMAN	3
KARLSDR BACK	1
FREDRIKSSON WESTBERG BORGAR	1
NILSSON WIKDAHL	3
RENMAN ( D. Y. )	1
MELLANDER	13
JOHANSSON HÖGMARK	1
ANDERSSON HÄGGQVIST	1
TORKELSD:TR	1
OLOF ALBERT	1
ERSS. LUNDSTRÖM	1
WANGSTRÖM	1
LUNDSTRÖM F. SEGERSTEDT	1
SVERKDR	1
JONSSON ENQVIST	2
GRANBER	1
MATTSDOTTER MEIJER	1
ÄNGQVIST	2
ISRAELSDOTTER NORTMAN	1
JOHANSN.	1
HAMRIN ÅKERBERG	1
KUKKUS	1
STOLZ	7
HAGBLOM	3
GUSTAFSDR SVAN	1
STOLS	8
LARSD:TR GOREK	2
STOLT	19
OLOFSSON SVANSTRÖM	1
FURMAN	42
SVERKER	1
JAKOBSON	12
JOHANSSON LINDSKÖLD	1
ANDERSDOTTER BONTA	3
FREDRIKSSON NORSTRÖM	2
¤STIN	1
OLOFSDOTTER DAHBÄCK	7
JOH.SON WESTERLUND	2
MONTELIUS	3
JOHANSSON STINS	1
AN:SON FURBERG	1
GABRIEL:DR	1
OLOFSDR HEDQVIST	1
THOMASSON MARKLUND	3
CARL PETER	7
HANSD:TTR	3
TOMSON	2
JOHANSSON SKOTT	1
ERIKSSON VIK	4
OLOFSD:R BRANDTMAN	1
JOHANSON	139
ABRAHAMSSON F. EDSTRÖM	1
DAN:SDR	2
DILL	2
JOHS DR	1
PEHRSSON HERRE	1
FORT	1
FORS	53
PERSSON LINDFORS	10
JANSSON WIKSTRÖM	3
DUNDERBERG	5
ERSD.R BÖS	1
MATTSSON ASPLUND	2
ERSDR SJÖSTRÖM	2
MARCUSDR WARG	1
SAMUELSD:R	57
JÖNSSON BORIN	3
ELIASDR.	1
NIKUS.DR	1
JOHANSSON SJÖBLOM	1
PÄRSSON FÄRM	1
WÄSTER	1
HELTMAN	1
ERSSON BJUHR	1
MAURIDOTTER	1
ERSSON UNGA	1
JOHANSSON BLACKSTEDT	1
MAHTSSON	1
ANDERSSON KINDBERG	1
JACOBSSON BERGMAN	2
ANDERSDR KANTLUND	1
MARKSTRÖM PERSSON	2
SKÅHLBERG	1
ERSDR BERGMAN	1
STORFÄLDT	6
GRAHNBERG	9
D.R	2
VESTBERG LODIN	2
HANSSON F. ERSDOTTER	1
HANSDR WIKLUND	1
JONSSON STOM	1
JOHAN:S ÅBERG	1
MELANDER GRANLUND	1
SAMUELSSON LÖVBOM	1
PETTER GUSTAF	4
ADAMSSON ANDERSSON	1
VIDERSTEDT	5
WINNSTRÖM	1
JÖNSSON HÖGFELDT	1
THOMSEN	9
JACOBSSON ÖSTRÖM	1
HELMERSEN	1
[BURVALL]ÅSTRÖM	1
BURSTRAND ANDERSSON	2
DEPPEN	1
JONSSON U.N	1
J:SON BERGMARK	1
NILSSON VIKDAHL	1
BURNELL	1
BROLIN	10
CARLSSON FAGERSTRÖM	2
NYMAN JAKOBSSON	1
BOSTROM	1
ERICSSON RENLING	1
ANDERSSON RENFORS	2
THOMSDR	3
LINDM.	1
ERSSON WALLGREN	1
ANDERSSON BACKUS	1
BENGTSSON PERSDOTTER	3
LARSDR WIHBERG	1
[¤]RÖNNHOLM	1
ERSON RUNSVIK	1
[JONSD:TR] NILSD:TR	1
NICHUSDOTTER	1
ANDER.S BÄCKER	1
JONAS MICHAEL	3
NILSD.R PULPUR	1
JONSSON ÖHLUND	1
ISAKSSON STOLPE	1
GUDMUND OLOF	2
VÅRD	1
MARITZ	3
OLOFSSON ERICSSON	1
FREDRIK JOHAN	1
CONRADSSON	29
STOUT	1
GABRIELSDT.R	1
JACOBSON FAHLGREN	1
MAGNUSSON VALBERG	1
(VESTMAN) VAHLMAN	2
MECKELBORG	1
OLOFSSON VESTERMARK	19
IDSTRÖM	6
OLSS. BERG	1
KÅRE	1
HÖGSTÖM	1
STOTZ	1
JOH¤SON DUNDER	1
STENSSON	22
THOMATSDOTTER	1
LARSDR FROM	1
RYDQVIST	4
WALHBERG	2
ERIKSSON LINDQVIST	8
SAMUELSSON HEDBERG	2
ERICHSSON STRÖMVALL	1
HULTMAN JÖNSSON	1
LÖFGRE NILSSON	1
FREDRIKSDR LINDBLOM	1
PEHRSD.R	515
HEDEN	8
CLEMETSD.R	18
NILSSON FJELLSTROM	2
PERSSON FJELLSTRÖM	1
JONAS NICANOR	4
(JONSSON) BURGSTRÖM	1
KROGSTAD (JONSSON)	2
HENR:DR	2
SVANSTEDT	11
TÖRNBERG	200
BJÖRKLIND	21
WASSBLAD	2
SELANDARER	1
SVEDENBORG	1
DR NYMAN	1
SEHLSTET	1
OLSSON NYSTRÖM	2
NILSSON NORDVALL	2
VIKSTEN F. NILSSON	1
JONSSON (SVENSSON)	1
JAKOBSEN	1
GISTLIN	3
GIRÖK	1
ANUTSSON	1
LUND ANDERSSON	2
DU BEAU	2
OLSSON SUNDQVIST	2
ZACHRISSN	2
BYQVIST	71
SVAN	110
ANDERSDOTTER WIKBERG	1
STRÅLBERG	2
NORDLUND LARSSON	1
OLSON LUNDQVIST	1
JONSDR LENBERG	1
NORDEN	40
SPÅNG CARLSSON	1
WIRBERG	2
PEHR DANIEL	9
ZACHRISS.	5
LARSSON SUNDSTRÖM	4
ROBERT GEORG	2
MATTS ERIC	1
ABRAMSSON STENLUND	1
[BENGTSDOTTER] CLEMETSDOTTER	1
ERS. BERGMAN	1
HANSSON FORSGREN	1
PEHRSSON FLINKFÄLT	1
GÄLLSTEDT	2
C. AB.	2
VILLIHAD	1
EDFELT	1
STEBVALL	1
ARVIDSSON SJÖHOLM	1
ERSSON YL.	4
SJURDSSON	5
MICHELSDR KARBIN	1
MARTIN MATHIAS	1
ERIKSSON BRODIN	1
EKENSTET	2
HENDRIK	9
CHRISTOPHERSDOTTER	36
PERSSON RUSÉN	1
CHRISSTOFFERSSON	1
KARLSTRÖM JOHANSSON	1
ERSSON GL	2
ABRAHAMSDOTTER TÅLFMAN	1
GERSTORPHS	1
AND. SALM.	5
GJERS.	1
ANDERSSON WAD	1
HÄGGLUND WIKLANDER	1
HANNASSON NÄSLUND	1
WIDENMARK FÖDD GENBERG	1
HEDIN	183
ANDERSDOTTER KÄMPE	1
NELANDER	1
NICKUSSON ÅGREN	2
LJUNBLOM	1
SKALIN GETING	2
SVED	6
HAST ZELL	1
SIROCKSSON	2
ERIKSSON VALLIN	2
(NILSSON) CARLSSON ÅMAN	1
JACOBSSON SKRÄDDARE	2
JONSSON NORDLUND	7
EUGELMARK	4
GJERSS	1
SVEN	195
BERGMAN LARSSON	1
ANDERSSON BÅNTA	1
HÖJER	26
ZACHRISON	1
BORGER	1
HENDRIC	2
BORGEN	1
PEHRSSON HOFMAN	2
TOMSDR	1
HÖJEN	3
ADAMSSON LÖFMARK	2
MATTSSON LINDGREN	1
NORDAL	9
MATSSON BODIN	1
SACHRISSON HAMMARBERG	1
PÅLSS.	2
HÅKANZON	1
ÖRNSTEDT	4
JOHANSSON LÅNG	1
HANSDOTTER TRAPPMAN	5
HUSS HELLGREN	1
PEHRS.N	1
HVIT	7
NILSSON ERSBERG	1
SÖDERLUNDH	3
GRANATH	3
DANIELSSON LJUNGSTRÖM	1
FRÖLUND F LARSDR	1
LARSSON STRIDSBERG	1
WESTERSTRÖM	8
HÖLLGREN	1
NILSDR DEGERSTRÖM	3
CARLSSON SPÅNG	2
HÖRBERG	7
CARLSSON HELLGREN	1
HEDMA	1
PLAGEMAN F. MENK	1
BORGH.	4
SVEDLUND	260
JOHANSDR LINDBLOM	3
SIMONSSON BYLIN	4
ER¤D.R	1
(GABRIELSSON) LARSSON	1
EVASDOTTER	3
MARTENSD:TR	1
PERSSON VIKMAN	3
ANDERS.SON	1
PÄRSDOTT	1
(JONSSON) HANSSON	1
BURKHERDT	1
(JOHANSSON) NILSSON	1
QVASTMAN	4
PERSSON DEGERFELDT	3
AXELL ÅSLUND	1
JÄDERLUND	16
RENDAHL	2
VON HEIDENSTAM	1
STAMPELL	1
(LIND) LUND	1
ANDERSDT.R	9
DYHR F. BOSTRÖM	1
OLSSON SÖDERQVIST	8
PÅLSON	12
VALLSTEDT	24
¤HRSSON	1
JOSEPTSSON	1
ABRAHAMSD:R	22
BJÖRZEN	1
SVENSSON NORDLUND	1
WALSSTRÖM	1
KRISTOFERSDOTTER	17
AMATINSSON	2
ANDERSSON SVENBORG	2
NILSSON BRÄNDSTRÖM	4
DYNELIUS	1
MATTSS. LUNDIN	1
ERSSON AL	1
HINDRICKSSON	23
NORNBERG	1
LUNDBERG ANDERSD.R	1
JÖNSSON SANDBERG	4
HENDRIKSDR.	1
MÅRTENSSON BLOMQVIST	1
ERIKSSON WIK	6
SCHENLING	16
(BLOMQVIST) CJELANDER	1
JONSDOTTR WIKSTRÖM	1
NAUCHMAN	1
ERSSON HEDQVIST	1
[BÄCKSTRÖM] BÄCKMAN	1
LÄRDSTRÖM	1
GABRIELSSON ANDERSSON	7
LARSS. LINDFORS	1
ABRAMSSON WIKLUND	8
JOHANSDR ÖSTERBERG	1
MATHSSON RENSTRÖM	1
PÅLSDR	104
HENDRSS	1
BORGREN	1
TJERNS¤	2
LARSSON STRÖMSQVIST	1
MATTSSON BERTLIN	2
DUKLO	2
¤OHAN	1
PETTERZEN	3
AXELS	1
¤DERSDR	3
NILSON TORDIN	1
AXELL	33
JOHANSDR GÅLL SÖDERMAN	1
RANKLEF	1
ALROTH	1
AXEL:	1
SAMUELSD.R	83
MODEC	1
JOHANSSON HÖGBACK	1
RYDAL	1
JOHANSDR. BÄCKMAN	1
MODEN	22
ERSDR HÖGLIN	1
JACOBSSON PÅLACH	1
DAL	5
SILÉN	7
(ANDERSDOTTER) DANIELSSON	1
DAN	2
FORSSBOM	15
ABELL	3
PETERSSON KÖNLÖF	1
FURBERG D. Y.	1
ABRAHAMSD.R	47
RACKMAN	1
HALDIN	8
KARLDR. ENGELMARK	1
NÄSLUND (JONSSON)	1
ADAMSSON NYMAN	1
MAGNUSSON VAHLSTRÖM	1
ASLUND	1
BROMAM	1
BROMAN	139
ADAMSS. NORMAN	1
RIDDERSTRÅLE	3
SLANTLUND	1
ARVIDSSON ENGSTRÖM	2
OSTLING	1
KARLSTRÖM	43
HENRIKSSON BACKE	1
PERSSON BOGREN	5
WALLSTRAND	1
(PETTERSSON) PERSON MARKLUND	1
NILSSON BJÖRN	1
ZVARNSTRÖM	6
ERSDOTTER FORSLUND	1
ÖDQVIST	12
MATTSSON WIK	2
DAVIDSON	3
JOHAN MICHAEL	1
NILSSON BÅTAS	6
ZACHRISDR	146
ABRAMSSON SEGERSTET	1
ERSSON FALK	3
PEHR OL.	5
HEDS¤	1
DAVIDSS.	2
ERIKSSON LINDFORS	1
SVSN	1
JOHANS:N HOLM	1
JOHANSSON PIHL	2
MODIG	55
TJERNOD	1
MODIN	176
ZACHRISD.	5
CARLSSON KARLZEN	1
SCHONGH	1
RUNDBERG	10
BUHRMAN	2
SPOHST	1
THOMSSON FAHLGREN	1
NYBÄCK NILSSON	1
KÖHLQVIST	2
HENRIKSD:R	9
SAEDIN	6
LARSSON NÅSBERG	1
JACOBSSON GRAHN	1
MÖLNER	1
ERIKSSON UNG	2
A.	8
SJ NSTEDT	1
OLSSON ¤	1
PEHRSD.	63
STRINDIN	23
(JACOBSSON ANDERS) ANDERSSON	1
MATTSSON S¤	1
GUSTAF FROMHOLD GOTTFRID	1
MICKAELSON	1
ÅHBERG	1
BQVIST	1
B¤ CARLSSON	1
FLUR NÄSLUND	1
VON AHN NILSDR	3
PER ANTON	8
SIGFRIDSSON WESTMAN	2
B.	2
ISRAELSON	8
WIKMAN JONSSON	2
PÅLS.	7
PEHRSDN	1
ERICKSSON	18
JONSS. BERGMAN	2
VICKHOLM	1
NORLIN JONSDOTTE.	1
OLSS. TRAST	1
ANDERSSON KÅGSTRÖM	9
C.	1
ISACSSON NÄSMAN	1
BREDBERG	110
TEGELIN	3
KLEMETSDTR.	1
BY	2
PEHRSD. HUMLA	1
DANIELSSON BÄCKLIN	1
SIMONSSON TOFTE	1
TENNBERG	4
JOH.SD. FLINTA	1
JOH:SSON NORMARK	1
REGNELL	2
SEDVALLSSON	5
JONSSON JOUFFA	2
TENGQVIST	1
ANDERSS:N BERGSTRÖM	1
D.	3
DANTOWITSCH	1
NEMBERG	1
GERDSFELDT	1
BRANDTSSON	1
GENBORG	1
VADSTRÖM	1
OLSSON KLINT	1
SKÖLDMARK	3
OLOFSDR VIKLUND	1
GRONLUND	1
MÅNS BÅRKOTIS	1
LINDEMAN ISAKSSON	1
GRA[H]NSTRÖM	1
WALKNUT	6
NILS ANDERS	2
A¤	5
ISRAELSS:	1
TILLY	9
E.	9
DR	74
GUSTAF BERNH.	1
PEHRSSON ÖDLUND	2
BLOMQVIST JONASSON	1
ISRAELSS.	9
NILSDR RENSTRÖM	1
TJERNQUIST	13
SJULSSON LÅNG	1
E.JOH.	2
OLSBO	2
ANDERSSON MELLGREN	1
ANDERSSON GRASS	5
MOLLBERG	1
ED	1
ROSENSSON	3
B¤	5
ANDERSD. FURMAN	1
NILSON	108
EK	88
EN	1
TÄFVANDER	2
SOHBERG	1
ER	5
SEDERLUND	5
ISRAELSSN	1
LJUNGBERG	58
WAIPOCK	1
ANDERSS: LUNDSTRÖM	1
LARSSON STRÖMQVIST	1
PETTERSSON BYGDÉN	1
KROGSTAD JONSSON	1
CHRISTOPHERSSON	211
P. ER.	7
G.	4
LARS EMANUEL	1
MÅNSDOTTER FJÄLLSTRÖM	4
JOHANSDR RÄNNAR	1
J:SON HEDMAN	1
DANIELSSON GAFVELIN	1
E.D	1
BEIJER	1
WASSEL	3
WASSEN	9
SJULSSON YNGRE	1
NORBORG	7
H.	5
BAUDIN	15
LUNDMARK F. BRYGGMAN	1
