start-time,corrupted,links-lost-on-pre-filter,tp,fp,fn,precision,recall,f-measure,time-take-seconds,linkage-class,fields-used1,fields-used2,evaluation-approach,records-repo,results-repo,links-sub-repo,max-memory-usage,code-version,hostname,"linkage-configuration-hash",births-cache-size,marriages-cache-size,deaths-cache-size,ros,threshold,"pre-filter-required-fields",max-sibling-age-diff,min-marriage-age,min-parenting-age,max-parenting-age,"max-marriage-age-discrepancy",max-death-age,linkage-results-file,reason,priority,required-memory,seed,population,size,corruption-profile,metric,linkage-type,pre-filter,persist-links,evaluate-quality,experiment-id,linkage-phase,pop-number,evaluation-approach,"single-path-indirect-evaluation-approach","dual-path-indirect-evaluation-approach"
1621361062523,true,1645,252,0,13911,1.0,0.01779284049989409,0.03496357960457856,409,"uk.ac.standrews.cs.population_linkage.linkageRecipes.DeathGroomOwnMarriageIdentityLinkageRecipe","Death[ FORENAME SURNAME SPOUSE_NAMES FATHER_FORENAME FATHER_SURNAME MOTHER_FORENAME MOTHER_MAIDEN_SURNAME ]","Marriage[ GROOM_FORENAME GROOM_SURNAME BRIDE_FULL_NAME GROOM_FATHER_FORENAME GROOM_FATHER_SURNAME GROOM_MOTHER_FORENAME GROOM_MOTHER_MAIDEN_SURNAME ]",,"synthetic-scotland_133k_1_corrupted_C","synthetic-scotland_1_C_death-groom-identity_links","yellow_JENSEN_SHANNON_0.35_2021-05-18T18-04-22.523Z",1.732775424,"95bc440c719c314809b2c64b8e222d8934a00d3a",sif-2,1679977288,90000,90000,90000,70,0.35,6,50,15,15,55,20,120,"cluster-runs/results/thesis-1-sif-2.csv",yellow,3,12,12345,synthetic-scotland,133k,C,JENSEN_SHANNON,death-groom-identity,true,false,true,"25C4F1AE574802F5E3F6CF689A18E6684B637D36106E3BABD1BFFBC3355D6686",,1,"death-groom-identity.ALL.all",,
1621361474336,false,0,13907,0,490,1.0,0.965965131624644,0.982687959299039,414,"uk.ac.standrews.cs.population_linkage.linkageRecipes.DeathGroomOwnMarriageIdentityLinkageRecipe","Death[ FORENAME SURNAME SPOUSE_NAMES FATHER_FORENAME FATHER_SURNAME MOTHER_FORENAME MOTHER_MAIDEN_SURNAME ]","Marriage[ GROOM_FORENAME GROOM_SURNAME BRIDE_FULL_NAME GROOM_FATHER_FORENAME GROOM_FATHER_SURNAME GROOM_MOTHER_FORENAME GROOM_MOTHER_MAIDEN_SURNAME ]",,"synthetic-scotland_133k_3_clean","synthetic-scotland_3_0_death-groom-identity_links","yellow+blue_JENSEN_SHANNON_0.20_2021-05-18T18-11-14.336Z",0.352302584,"95bc440c719c314809b2c64b8e222d8934a00d3a",sif-2,-1272976839,90000,90000,90000,70,0.20,6,50,15,15,55,20,120,"cluster-runs/results/thesis-1-sif-2.csv","yellow+blue",3,12,12345,synthetic-scotland,133k,0,JENSEN_SHANNON,death-groom-identity,true,false,true,"A1D3534B8C1A03A45814B631233297C9D9845F7221911AD58B40B50199D68449",,3,"death-groom-identity.ALL.all",,
1621361891372,false,0,13875,0,409,1.0,0.9713665639876785,0.9854753364821194,403,"uk.ac.standrews.cs.population_linkage.linkageRecipes.DeathGroomOwnMarriageIdentityLinkageRecipe","Death[ FORENAME SURNAME SPOUSE_NAMES FATHER_FORENAME FATHER_SURNAME MOTHER_FORENAME MOTHER_MAIDEN_SURNAME ]","Marriage[ GROOM_FORENAME GROOM_SURNAME BRIDE_FULL_NAME GROOM_FATHER_FORENAME GROOM_FATHER_SURNAME GROOM_MOTHER_FORENAME GROOM_MOTHER_MAIDEN_SURNAME ]",,"synthetic-scotland_133k_2_clean","synthetic-scotland_2_0_death-groom-identity_links","yellow+blue_JENSEN_SHANNON_0.25_2021-05-18T18-18-11.372Z",0.39562076,"95bc440c719c314809b2c64b8e222d8934a00d3a",sif-2,-1720314562,90000,90000,90000,70,0.25,6,50,15,15,55,20,120,"cluster-runs/results/thesis-1-sif-2.csv","yellow+blue",3,12,12345,synthetic-scotland,133k,0,JENSEN_SHANNON,death-groom-identity,true,false,true,"02919167E0CD9DCD58223EC5AF64475ACF8220D5011A5423356403358E1DA994",,2,"death-groom-identity.ALL.all",,
1621362297471,true,1645,644,31,13519,0.9540740740740741,0.04547059238861823,0.08680415150289797,355,"uk.ac.standrews.cs.population_linkage.linkageRecipes.DeathGroomOwnMarriageIdentityLinkageRecipe","Death[ FORENAME SURNAME SPOUSE_NAMES FATHER_FORENAME FATHER_SURNAME MOTHER_FORENAME MOTHER_MAIDEN_SURNAME ]","Marriage[ GROOM_FORENAME GROOM_SURNAME BRIDE_FULL_NAME GROOM_FATHER_FORENAME GROOM_FATHER_SURNAME GROOM_MOTHER_FORENAME GROOM_MOTHER_MAIDEN_SURNAME ]",,"synthetic-scotland_133k_1_corrupted_C","synthetic-scotland_1_C_death-groom-identity_links","yellow_JENSEN_SHANNON_0.55_2021-05-18T18-24-57.471Z",0.531983728,"95bc440c719c314809b2c64b8e222d8934a00d3a",sif-2,-109373604,90000,90000,90000,70,0.55,6,50,15,15,55,20,120,"cluster-runs/results/thesis-1-sif-2.csv",yellow,3,12,12345,synthetic-scotland,133k,C,JENSEN_SHANNON,death-groom-identity,true,false,true,"8CC624CC4B42AB3CD0F0B239A87F3F4CD51C74C2A5099D6C47E5DC43034C5FAD",,1,"death-groom-identity.ALL.all",,
1621362977841,true,1017,29358,918,26865,0.9696789536266349,0.5221706419081159,0.6788055353241078,9236,"uk.ac.standrews.cs.population_linkage.linkageRecipes.DeathGroomOwnMarriageIdentityLinkageRecipe","Death[ FORENAME SURNAME SPOUSE_NAMES FATHER_FORENAME FATHER_SURNAME MOTHER_FORENAME MOTHER_MAIDEN_SURNAME ]","Marriage[ GROOM_FORENAME GROOM_SURNAME BRIDE_FULL_NAME GROOM_FATHER_FORENAME GROOM_FATHER_SURNAME GROOM_MOTHER_FORENAME GROOM_MOTHER_MAIDEN_SURNAME ]",,"synthetic-scotland_531k_2_corrupted_B","synthetic-scotland_2_B_death-groom-identity_links","yellow_JENSEN_SHANNON_0.45_2021-05-18T18-36-17.841Z",7.718474456,"95bc440c719c314809b2c64b8e222d8934a00d3a",sif-2,785301842,90000,90000,90000,70,0.45,6,50,15,15,55,20,120,"cluster-runs/results/thesis-1-sif-2.csv",yellow,4,12,12345,synthetic-scotland,531k,B,JENSEN_SHANNON,death-groom-identity,true,false,true,"6FEC5907A6D87D24973C86B85E8F5C62049381021D3B91AF2FC1F99DDC2631E0",,2,"death-groom-identity.ALL.all",,
1621372217848,false,0,73882,824903,0,0.08220208392440906,1.0,0.15191632902113467,1204,"uk.ac.standrews.cs.population_linkage.linkageRecipes.BirthMotherIdentityLinkageRecipe","Birth[ FORENAME SURNAME ]","Birth[ MOTHER_FORENAME MOTHER_MAIDEN_SURNAME ]",,"synthetic-scotland_133k_4_clean","synthetic-scotland_4_0_birth-mother-identity_links","brown_JENSEN_SHANNON_0.40_2021-05-18T21-10-17.848Z",2.550192808,"95bc440c719c314809b2c64b8e222d8934a00d3a",sif-2,-791548924,90000,90000,90000,70,0.40,2,50,15,15,55,20,120,"cluster-runs/results/thesis-1-sif-2.csv",brown,5,12,12345,synthetic-scotland,133k,0,JENSEN_SHANNON,birth-mother-identity,true,false,true,-,,4,"birth-mother-identity.ALL.all",,
1621373425433,false,2119,0,0,73122,0.0,0.0,0.0,2123,"uk.ac.standrews.cs.population_linkage.linkageRecipes.BirthMotherIdentityWithAddressLinkageRecipe","Birth[ FORENAME SURNAME PARENTS_PLACE_OF_MARRIAGE ]","Birth[ MOTHER_FORENAME MOTHER_MAIDEN_SURNAME PLACE_OF_BIRTH ]",,"synthetic-scotland_133k_2_clean","synthetic-scotland_2_0_birth-mother-identity-with-address_links","brown_JENSEN_SHANNON_0.25_2021-05-18T21-30-25.433Z",2.324202992,"95bc440c719c314809b2c64b8e222d8934a00d3a",sif-2,1220787043,90000,90000,90000,70,0.25,3,50,15,15,55,20,120,"cluster-runs/results/thesis-1-sif-2.csv",brown,5,12,12345,synthetic-scotland,133k,0,JENSEN_SHANNON,"birth-mother-identity-with-address",true,false,true,"C83920C445E5E2CDA98F11D89F2B0128F04661B954D0A231DDBB06BC898D070F",,2,"birth-mother-identity-with-address.ALL.all",,
1621375551352,false,0,0,0,73882,0.0,0.0,0.0,2172,"uk.ac.standrews.cs.population_linkage.linkageRecipes.BirthMotherIdentityWithAddressLinkageRecipe","Birth[ FORENAME SURNAME PARENTS_PLACE_OF_MARRIAGE ]","Birth[ MOTHER_FORENAME MOTHER_MAIDEN_SURNAME PLACE_OF_BIRTH ]",,"synthetic-scotland_133k_4_clean","synthetic-scotland_4_0_birth-mother-identity-with-address_links","brown_JENSEN_SHANNON_0.25_2021-05-18T22-05-51.352Z",3.49240976,"95bc440c719c314809b2c64b8e222d8934a00d3a",sif-2,333283362,90000,90000,90000,70,0.25,2,50,15,15,55,20,120,"cluster-runs/results/thesis-1-sif-2.csv",brown,5,12,12345,synthetic-scotland,133k,0,JENSEN_SHANNON,"birth-mother-identity-with-address",true,false,true,-,,4,"birth-mother-identity-with-address.ALL.all",,
1621377726110,false,0,74480,201927,0,0.269457719956441,1.0,0.4245241345504393,610,"uk.ac.standrews.cs.population_linkage.linkageRecipes.BirthMotherIdentityLinkageRecipe","Birth[ FORENAME SURNAME ]","Birth[ MOTHER_FORENAME MOTHER_MAIDEN_SURNAME ]",,"synthetic-scotland_133k_3_clean","synthetic-scotland_3_0_birth-mother-identity_links","brown_JENSEN_SHANNON_0.15_2021-05-18T22-42-06.11Z",0.820442584,"95bc440c719c314809b2c64b8e222d8934a00d3a",sif-2,1445139691,90000,90000,90000,70,0.15,2,50,15,15,55,20,120,"cluster-runs/results/thesis-1-sif-2.csv",brown,5,12,12345,synthetic-scotland,133k,0,JENSEN_SHANNON,birth-mother-identity,true,false,true,"D1DB2B50AC987D12CA8EB973C97C5F91DB0E02A3A36BDA2D1072688100C934D7",,3,"birth-mother-identity.ALL.all",,
1621378338715,false,0,73882,220351,0,0.2511003184551019,1.0,0.4014071689553536,2165,"uk.ac.standrews.cs.population_linkage.linkageRecipes.BirthMotherIdentityWithAddressLinkageRecipe","Birth[ FORENAME SURNAME PARENTS_PLACE_OF_MARRIAGE ]","Birth[ MOTHER_FORENAME MOTHER_MAIDEN_SURNAME PLACE_OF_BIRTH ]",,"synthetic-scotland_133k_4_clean","synthetic-scotland_4_0_birth-mother-identity-with-address_links","brown_JENSEN_SHANNON_0.55_2021-05-18T22-52-18.715Z",2.558484416,"95bc440c719c314809b2c64b8e222d8934a00d3a",sif-2,1944224320,90000,90000,90000,70,0.55,2,50,15,15,55,20,120,"cluster-runs/results/thesis-1-sif-2.csv",brown,5,12,12345,synthetic-scotland,133k,0,JENSEN_SHANNON,"birth-mother-identity-with-address",true,false,true,-,,4,"birth-mother-identity-with-address.ALL.all",,
