start-time,corrupted,tp,fp,fn,precision,recall,f-measure,time-take-seconds,linkage-class,fields-used1,fields-used2,records-repo,results-repo,links-sub-repo,max-memory-usage,code-version,hostname,threshold,"pre-filter-required-fields",births-cache-size,marriages-cache-size,deaths-cache-size,ros,max-sibling-age-diff,min-marriage-age,min-parenting-age,max-parenting-age,"max-marriage-age-discrepancy",max-death-age,linkage-results-file,reason,priority,required-memory,seed,population,size,pop-number,corruption-profile,metric,linkage-type,pre-filter,persist-links,evaluate-quality
1612968218306,true,189784,170394,82937,0.5269172464725774,0.6958906721521262,0.5997291826973972,11337,"uk.ac.standrews.cs.population_linkage.linkageRecipes.BirthSiblingLinkageRecipe","Birth[ FATHER_FORENAME FATHER_SURNAME MOTHER_FORENAME MOTHER_MAIDEN_SURNAME PARENTS_PLACE_OF_MARRIAGE PARENTS_DAY_OF_MARRIAGE PARENTS_MONTH_OF_MARRIAGE PARENTS_YEAR_OF_MARRIAGE ]","Birth[ FATHER_FORENAME FATHER_SURNAME MOTHER_FORENAME MOTHER_MAIDEN_SURNAME PARENTS_PLACE_OF_MARRIAGE PARENTS_DAY_OF_MARRIAGE PARENTS_MONTH_OF_MARRIAGE PARENTS_YEAR_OF_MARRIAGE ]","synthetic-dominican-republic_178k_1_corrupted_A","synthetic-dominican-republic_1_A_birth-birth-sibling_links","initial_JENSEN_SHANNON_0.7_2021-02-10T14-43-38.306Z",4.377417984,"71933d4f14966b8f79f4776aa87d069fe0b7c23f",sif-6.cluster,0.7,7,45000,0,0,50,50,15,15,55,20,120,"cluster-runs/results/linkage-2.csv",initial,4,12,12345,"synthetic-dominican-republic",178k,1,A,JENSEN_SHANNON,birth-birth-sibling,true,false,true
1612973266251,true,111192,56,94238,0.999496620163958,0.5412646643625566,0.7022401303532294,6744,"uk.ac.standrews.cs.population_linkage.linkageRecipes.BirthSiblingLinkageRecipe","Birth[ FATHER_FORENAME FATHER_SURNAME MOTHER_FORENAME MOTHER_MAIDEN_SURNAME PARENTS_PLACE_OF_MARRIAGE PARENTS_DAY_OF_MARRIAGE PARENTS_MONTH_OF_MARRIAGE PARENTS_YEAR_OF_MARRIAGE ]","Birth[ FATHER_FORENAME FATHER_SURNAME MOTHER_FORENAME MOTHER_MAIDEN_SURNAME PARENTS_PLACE_OF_MARRIAGE PARENTS_DAY_OF_MARRIAGE PARENTS_MONTH_OF_MARRIAGE PARENTS_YEAR_OF_MARRIAGE ]","synthetic-scotland_133k_1_corrupted_A","synthetic-scotland_1_A_birth-birth-sibling_links","initial_JENSEN_SHANNON_0.6_2021-02-10T16-07-46.251Z",4.193621536,"71933d4f14966b8f79f4776aa87d069fe0b7c23f",sif-9.cluster,0.6,4,45000,0,0,50,50,15,15,55,20,120,"cluster-runs/results/linkage-2.csv",initial,4,12,12345,synthetic-scotland,133k,1,A,JENSEN_SHANNON,birth-birth-sibling,true,false,true
1612969219366,true,192731,159890,79990,0.5465669940247461,0.7066965873548425,0.6164019048776509,11226,"uk.ac.standrews.cs.population_linkage.linkageRecipes.BirthSiblingLinkageRecipe","Birth[ FATHER_FORENAME FATHER_SURNAME MOTHER_FORENAME MOTHER_MAIDEN_SURNAME PARENTS_PLACE_OF_MARRIAGE PARENTS_DAY_OF_MARRIAGE PARENTS_MONTH_OF_MARRIAGE PARENTS_YEAR_OF_MARRIAGE ]","Birth[ FATHER_FORENAME FATHER_SURNAME MOTHER_FORENAME MOTHER_MAIDEN_SURNAME PARENTS_PLACE_OF_MARRIAGE PARENTS_DAY_OF_MARRIAGE PARENTS_MONTH_OF_MARRIAGE PARENTS_YEAR_OF_MARRIAGE ]","synthetic-dominican-republic_178k_1_corrupted_B","synthetic-dominican-republic_1_B_birth-birth-sibling_links","initial_JENSEN_SHANNON_0.7_2021-02-10T15-00-19.366Z",4.323382192,"71933d4f14966b8f79f4776aa87d069fe0b7c23f",sif-3.cluster,0.7,4,45000,0,0,50,50,15,15,55,20,120,"cluster-runs/results/linkage-2.csv",initial,4,12,12345,"synthetic-dominican-republic",178k,1,B,JENSEN_SHANNON,birth-birth-sibling,true,false,true
1612956009873,true,123983,58182295,148738,0.0021264090978333414,0.4546147894734912,0.004233018730825359,24860,"uk.ac.standrews.cs.population_linkage.linkageRecipes.BirthSiblingLinkageRecipe","Birth[ FATHER_FORENAME FATHER_SURNAME MOTHER_FORENAME MOTHER_MAIDEN_SURNAME PARENTS_PLACE_OF_MARRIAGE PARENTS_DAY_OF_MARRIAGE PARENTS_MONTH_OF_MARRIAGE PARENTS_YEAR_OF_MARRIAGE ]","Birth[ FATHER_FORENAME FATHER_SURNAME MOTHER_FORENAME MOTHER_MAIDEN_SURNAME PARENTS_PLACE_OF_MARRIAGE PARENTS_DAY_OF_MARRIAGE PARENTS_MONTH_OF_MARRIAGE PARENTS_YEAR_OF_MARRIAGE ]","synthetic-dominican-republic_178k_1_corrupted_C","synthetic-dominican-republic_1_C_birth-birth-sibling_links","initial_JENSEN_SHANNON_0.8_2021-02-10T11-20-09.873Z",4.442366472,"71933d4f14966b8f79f4776aa87d069fe0b7c23f",sif-5.cluster,0.8,7,45000,0,0,50,50,15,15,55,20,120,"cluster-runs/results/linkage-2.csv",initial,4,12,12345,"synthetic-dominican-republic",178k,1,C,JENSEN_SHANNON,birth-birth-sibling,true,false,true
1612972836038,true,111191,56,94239,0.9994966156390734,0.5412597965243635,0.7022360322978934,9006,"uk.ac.standrews.cs.population_linkage.linkageRecipes.BirthSiblingLinkageRecipe","Birth[ FATHER_FORENAME FATHER_SURNAME MOTHER_FORENAME MOTHER_MAIDEN_SURNAME PARENTS_PLACE_OF_MARRIAGE PARENTS_DAY_OF_MARRIAGE PARENTS_MONTH_OF_MARRIAGE PARENTS_YEAR_OF_MARRIAGE ]","Birth[ FATHER_FORENAME FATHER_SURNAME MOTHER_FORENAME MOTHER_MAIDEN_SURNAME PARENTS_PLACE_OF_MARRIAGE PARENTS_DAY_OF_MARRIAGE PARENTS_MONTH_OF_MARRIAGE PARENTS_YEAR_OF_MARRIAGE ]","synthetic-scotland_133k_1_corrupted_A","synthetic-scotland_1_A_birth-birth-sibling_links","initial_JENSEN_SHANNON_0.6_2021-02-10T16-00-36.038Z",4.421511544,"71933d4f14966b8f79f4776aa87d069fe0b7c23f",hogun-7.cluster,0.6,7,45000,0,0,50,50,15,15,55,20,120,"cluster-runs/results/linkage-2.csv",initial,4,12,12345,synthetic-scotland,133k,1,A,JENSEN_SHANNON,birth-birth-sibling,true,false,true
1612972664852,false,205430,113,0,0.999450236690133,1.0,0.9997250427643665,9781,"uk.ac.standrews.cs.population_linkage.linkageRecipes.BirthSiblingLinkageRecipe","Birth[ FATHER_FORENAME FATHER_SURNAME MOTHER_FORENAME MOTHER_MAIDEN_SURNAME PARENTS_PLACE_OF_MARRIAGE PARENTS_DAY_OF_MARRIAGE PARENTS_MONTH_OF_MARRIAGE PARENTS_YEAR_OF_MARRIAGE ]","Birth[ FATHER_FORENAME FATHER_SURNAME MOTHER_FORENAME MOTHER_MAIDEN_SURNAME PARENTS_PLACE_OF_MARRIAGE PARENTS_DAY_OF_MARRIAGE PARENTS_MONTH_OF_MARRIAGE PARENTS_YEAR_OF_MARRIAGE ]","synthetic-scotland_133k_1_clean","synthetic-scotland_1_0_birth-birth-sibling_links","initial_JENSEN_SHANNON_0.6_2021-02-10T15-57-44.852Z",3.817134208,"71933d4f14966b8f79f4776aa87d069fe0b7c23f",hogun-6.cluster,0.6,4,45000,0,0,50,50,15,15,55,20,120,"cluster-runs/results/linkage-2.csv",initial,4,12,12345,synthetic-scotland,133k,1,0,JENSEN_SHANNON,birth-birth-sibling,true,false,true
1612978469604,true,114314,53,91116,0.999536579607754,0.5564620552012851,0.7149160248532663,4257,"uk.ac.standrews.cs.population_linkage.linkageRecipes.BirthSiblingLinkageRecipe","Birth[ FATHER_FORENAME FATHER_SURNAME MOTHER_FORENAME MOTHER_MAIDEN_SURNAME PARENTS_PLACE_OF_MARRIAGE PARENTS_DAY_OF_MARRIAGE PARENTS_MONTH_OF_MARRIAGE PARENTS_YEAR_OF_MARRIAGE ]","Birth[ FATHER_FORENAME FATHER_SURNAME MOTHER_FORENAME MOTHER_MAIDEN_SURNAME PARENTS_PLACE_OF_MARRIAGE PARENTS_DAY_OF_MARRIAGE PARENTS_MONTH_OF_MARRIAGE PARENTS_YEAR_OF_MARRIAGE ]","synthetic-scotland_133k_1_corrupted_B","synthetic-scotland_1_B_birth-birth-sibling_links","initial_JENSEN_SHANNON_0.6_2021-02-10T17-34-29.604Z",0.79258536,"71933d4f14966b8f79f4776aa87d069fe0b7c23f",hogun-11.cluster,0.6,4,45000,0,0,50,50,15,15,55,20,120,"cluster-runs/results/linkage-2.csv",initial,4,12,12345,synthetic-scotland,133k,1,B,JENSEN_SHANNON,birth-birth-sibling,true,false,true
1612974945482,true,114312,53,91118,0.9995365715035195,0.556452319524899,0.7149079879297675,8852,"uk.ac.standrews.cs.population_linkage.linkageRecipes.BirthSiblingLinkageRecipe","Birth[ FATHER_FORENAME FATHER_SURNAME MOTHER_FORENAME MOTHER_MAIDEN_SURNAME PARENTS_PLACE_OF_MARRIAGE PARENTS_DAY_OF_MARRIAGE PARENTS_MONTH_OF_MARRIAGE PARENTS_YEAR_OF_MARRIAGE ]","Birth[ FATHER_FORENAME FATHER_SURNAME MOTHER_FORENAME MOTHER_MAIDEN_SURNAME PARENTS_PLACE_OF_MARRIAGE PARENTS_DAY_OF_MARRIAGE PARENTS_MONTH_OF_MARRIAGE PARENTS_YEAR_OF_MARRIAGE ]","synthetic-scotland_133k_1_corrupted_B","synthetic-scotland_1_B_birth-birth-sibling_links","initial_JENSEN_SHANNON_0.6_2021-02-10T16-35-45.482Z",3.148769592,"71933d4f14966b8f79f4776aa87d069fe0b7c23f",hogun-1.cluster,0.6,7,45000,0,0,50,50,15,15,55,20,120,"cluster-runs/results/linkage-2.csv",initial,4,12,12345,synthetic-scotland,133k,1,B,JENSEN_SHANNON,birth-birth-sibling,true,false,true
1612966837174,false,272721,265064,0,0.5071190159636286,1.0,0.6729647898966818,18164,"uk.ac.standrews.cs.population_linkage.linkageRecipes.BirthSiblingLinkageRecipe","Birth[ FATHER_FORENAME FATHER_SURNAME MOTHER_FORENAME MOTHER_MAIDEN_SURNAME PARENTS_PLACE_OF_MARRIAGE PARENTS_DAY_OF_MARRIAGE PARENTS_MONTH_OF_MARRIAGE PARENTS_YEAR_OF_MARRIAGE ]","Birth[ FATHER_FORENAME FATHER_SURNAME MOTHER_FORENAME MOTHER_MAIDEN_SURNAME PARENTS_PLACE_OF_MARRIAGE PARENTS_DAY_OF_MARRIAGE PARENTS_MONTH_OF_MARRIAGE PARENTS_YEAR_OF_MARRIAGE ]","synthetic-dominican-republic_178k_1_clean","synthetic-dominican-republic_1_0_birth-birth-sibling_links","initial_JENSEN_SHANNON_0.7_2021-02-10T14-20-37.174Z",4.003174632,"71933d4f14966b8f79f4776aa87d069fe0b7c23f",sif-1.cluster,0.7,4,45000,0,0,50,50,15,15,55,20,120,"cluster-runs/results/linkage-2.csv",initial,4,12,12345,"synthetic-dominican-republic",178k,1,0,JENSEN_SHANNON,birth-birth-sibling,true,false,true
1612978671526,true,7406,3,198024,0.9995950870562829,0.036051209657790975,0.06959250889169748,6609,"uk.ac.standrews.cs.population_linkage.linkageRecipes.BirthSiblingLinkageRecipe","Birth[ FATHER_FORENAME FATHER_SURNAME MOTHER_FORENAME MOTHER_MAIDEN_SURNAME PARENTS_PLACE_OF_MARRIAGE PARENTS_DAY_OF_MARRIAGE PARENTS_MONTH_OF_MARRIAGE PARENTS_YEAR_OF_MARRIAGE ]","Birth[ FATHER_FORENAME FATHER_SURNAME MOTHER_FORENAME MOTHER_MAIDEN_SURNAME PARENTS_PLACE_OF_MARRIAGE PARENTS_DAY_OF_MARRIAGE PARENTS_MONTH_OF_MARRIAGE PARENTS_YEAR_OF_MARRIAGE ]","synthetic-scotland_133k_1_corrupted_C","synthetic-scotland_1_C_birth-birth-sibling_links","initial_JENSEN_SHANNON_0.6_2021-02-10T17-37-51.526Z",2.33044104,"71933d4f14966b8f79f4776aa87d069fe0b7c23f",hogun-4.cluster,0.6,7,45000,0,0,50,50,15,15,55,20,120,"cluster-runs/results/linkage-2.csv",initial,4,12,12345,synthetic-scotland,133k,1,C,JENSEN_SHANNON,birth-birth-sibling,true,false,true
